CXJ;21364;217333;GABINETE DANIFICADO;TROCA DE GABINETE,PLACA MAE,MEMORIA RAM;LUCAS BARBOSA;;;
JDF;25348;220369;N LIGA;TROCA DE FONTE , LIMPEZA INTERNA , ATUALIZACAO DE APLICATIVOS;LUCAS BARBOSA;;;
DIQ;27377;220071;NAO COMUNICA AD;ATUALIZACAO VERSAO,LIMPEZA INTERNA;ANDRE LOIOLA;;;
FRC;22572;219927;WIN XP;ATUALIZACAO VERSAO,LIMPEZA INTERNA;GUILHERME VIANA;;;
VMM;15893;221651;S, DEFEITO;LIMPEZA INTERNA , ATUALIZACAO DE APLICATIVOS;GUILHERME VIANA;;;
RVD;27361;220501;N INICIA O WINDOWS;ATUALIZACAO VERSAO,LIMPEZA INTERNA;GUILHERME VIANA;;;
RVD;22355;220501;N INICIA O WINDOWS;TROCA DE MEMORIA, UPDATE PARADO;GUILHERME VIANA;;;
RAO;18615;220551;N LIGA;TROCA DE DESKTOP , ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS;ANDRE LOIOLA;;;
FRC;23272;219927;N LIGA;TROCA DE FONTE , ATUALIZACAO DE PROGRAMAS;ANDRE LOIOLA;;;
GYN;28270;220749;S, DEFEITO;ATUALIZACAO DE APLICATIVOS;GUILHERME VIANA;;;
GYN;10559;220749;S, DEFEITO;ATUALIZACAO DE APLICATIVOS;GUILHERME VIANA;;;
GYN;16516;220749;N INICIA O WINDOWS;TROCA DE FONTE , ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS;ANDRE LOIOLA;;;
GYN;22074;220749;N LIGA;TROCA DE FONTE , ATUALIZACAO DE VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
AJU;3985;219645;N INICIA O WINDOWS;ATUALIZACAO DA VERSAO;LUCAS BARBOSA;;;
TRL;5212;189748;DESLIGANDO;TROCA DO COOLER , ATUALIZACAO DE APLICATIVOS , USB FUNCIONANDO PERFEITAMENTE;LUCAS BARBOSA;;;
TRL;15512;189748;N INICIA O WINDOWS;CONEXAO SATA , ATUALIZACAO DE APLICATIVOS;ANDRE LOIOLA;;;
TRL;54009;189748;N LOGA C, USUARIO;ALTERADO DOMINIO DA MAQUINA , ATUALIZACAO DE APLICATIVOS;ANDRE LOIOLA;;;
TRL;21882;189748;S, DEFEITO;ALTERADO DOMINIO DA MAQUINA , ATUALIZACAO DE APLICATIVOS;LUCAS BARBOSA;;;
PPR;26907;221632;N LOGA C, USUARIO;FORMATACAO;GUILHERME VIANA;;;
BHZ;22923;214899;N LOGA C, USUARIO;ALTERACAO DE DOMINIO;CLEBER ROSSINI;;;
FOR;17714;219136;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;ANDRE LOIOLA;;;
REC;20571;222608;N INICIA O WINDOWS;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS ;ANDRE LOIOLA;;;
SOD;19228;223056;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;ANDRE LOIOLA;;;
IMP;5202;221357;N LOGA C, USUARIO;ALTERACAO DE DOMINIO;LUCAS BARBOSA;;;
IMP;16889;221657;N INICIA O WINDOWS;TROCA DE CABO SATA , ALTERACAO DO DOMINIO;LUCAS BARBOSA;;;
FOR;25338;219136;S, DEFEITO;DESKTOP SEM DEFEITO;LUCAS BARBOSA;;;
AQA;12199;223280;COOLER DA FONTE TRAVADO;TROCA DE FONTE , TROCA DE PENTE DE MEMORIA;LUCAS BARBOSA;;;
PTU;21480;223029;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;ANDRE LOIOLA;;;
CWB;17758;224597;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS ;LUCAS BARBOSA;;;
CWB;20590;224597;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;ANDRE LOIOLA;;;
BSB;17261;222890;N LIGA;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , TROCA DE GABINETE;LUCAS BARBOSA;;;
BSB;15813;222890;WIN XP;ATUALIZACAO DA VERSAO ;LUCAS BARBOSA;;;
BSB;19958;222890;N INICIA O WINDOWS;FORMATACAO DO SISTEMA;LUCAS BARBOSA;;;
XAP;80847;223005;S, DEFEITO;S, MANUTENCAO;LUCAS BARBOSA;;;
PPR;18644;224950;GABINETE DANIFICADO;TROCA DE GABINETE;GUILHERME VIANA;;;
CWB;5806;224250;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
VIX;19299;223261;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
VIX;17725;223261;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
VIX;15225;223261;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
VIX;24189;223261;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
SBL;22072;225094;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
SBL;19280;225094;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
SAO;23243;0;TROCA DE FONTE;SEM REGISTRO;SEM REGISTRO;;;
SAO;30031;0;UPGRADE DE MEMORIA;SEM REGISTRO;SEM REGISTRO;;;
BTB;19272;225383;LENTIDAO;ATUALIZACAO DO SISTEMA;GUILHERME VIANA;;;
RAO;21490;226327;N LIGA;TROCA DE FONTE;GUILHERME VIANA;;;
BNU;21260;223526;N LIGA;ATUALIZACAO DO SISTEMA;GUILHERME VIANA;;;
BNU;9582;224955;N LIGA;ATUALIZACAO DO SISTEMA;GUILHERME VIANA;;;
BNU;30560;223526;N LIGA;ATUALIZACAO DO SISTEMA;GUILHERME VIANA;;;
BNU;18616;223526;LENTIDAO;ATIVACAO DE WINDOWS , UPGRADE DE MEMORIA;GUILHERME VIANA;;;
MEA;15702;226166;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;GUILHERME VIANA;;;
CXJ;24033;223822;LENTIDAO;ATUALIZACAO DO SISTEMA;GUILHERME VIANA;;;
CXJ;54058;223003;GABINETE DANIFICADO;TROCA DE GABINETE;GUILHERME VIANA;;;
CXJ;54037;223003;N LIGA;TROCA DE FONTE E MEMORIA;GUILHERME VIANA;;;
CXJ;81562;224445;N INICIA O WINDOWS;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;GUILHERME VIANA;;;
CXJ;28876;223001;LENTIDAO;ATUALIZACAO DE APLICATIVOS;GUILHERME VIANA;;;
FOR;16260;221667;N LIGA;TROCA DE PLACA MAE;GUILHERME VIANA;;;
SSA;21484;223349;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
SSA;21501;223349;ADICAO;DESKTOP PADRAO;GUILHERME VIANA;;;
PFB;17778;225856;N INICIA O WINDOWS;ATUALIZACAO DA VERSAO;GUILHERME VIANA;;;
ARU;54178;225777;LENTIDAO;ATUALIZACAO DE APLICATIVOS , UPGRADE DE MEMORIA;GUILHERME VIANA;;;
BAU;20058;224948;S, DEFEITO;NENHUM DEFEITO;GUILHERME VIANA;;;
QHV;19613;228043;S, DEFEITO;NENHUM DEFEITO;GUILHERME VIANA;;;
QHV;21525;228043;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , TROCA DE FONTE;GUILHERME VIANA;;;
VMM;25793;229182;S, DEFEITO;NENHUM DEFEITO;GUILHERME VIANA;;;
SDR;22352;226983;N LIGA;DESCARGA DE ENERGIA ESTATICA;GUILHERME VIANA;;;
RIO;25739;172119;ADICAO;NOTEBOOK HP G42 I3 - 4GB RAM - 320GB HD;LUCAS BARBOSA;;;
RIO;16866;0;ADICAO;DESKTOP 300GHZ 4GB RAM;LUCAS BARBOSA;;;
BAU;82644;227735;N INICIA O WINDOWS;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;GUILHERME VIANA;;;
PTU;22386;229287;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
NZA;87605;229947;ADICAO;CELERON 2GB RAM 500GB HD;LUCAS BARBOSA;;;
CCM;0;230419;ADICAO;DOCA ;LUCAS BARBOSA;;;
JOI;15642;229424;ADICAO;RACK 12 US C,2 BANDEJAS ;LUCAS BARBOSA;;;
CWB;17036;230970;ADICAO;MONITOR , 2 CABOS DE FORCA , 1 CABO RJ11;LUCAS BARBOSA;;;
ITJ;17216;230822;ADICAO;MONITOR;LUCAS BARBOSA;;;
BNU;24290;228084;LENTIDAO;TROCA DE PROCESSADOR;LUCAS BARBOSA;;;
BSB;9538;222890;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
BTA;54125;227609;ADICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
FOR;16654;229747;TELA AZUL;TROCA DE MEMORIA;LUCAS BARBOSA;;;
VMM;25793;229919;POST TRAVADO;TROCA DE HD , ATUALIZACAO DA VERSAO;LUCAS BARBOSA;;;
VMM;16673;230439;S, DEFEITO;NAO FOI ENCONTRADO DEFEITO;LUCAS BARBOSA;;;
VMM;25759;230439;N LIGA;TROCA DE FONTE;LUCAS BARBOSA;;;
CAC;27734;230006;N LOGA C, USUARIO;ALTERCAO DE DOMINIO;LUCAS BARBOSA;;;
CAC;23249;231207;N INICIA O WINDOWS;TROCA DE HD , ATUALIZACAO DA VERSAO;LUCAS BARBOSA;;;
CWB;17716;232212;WIN XP;ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;CLEBER ROSSINI;;;
CWB;5806;230328;N LIGA;CONECTOR 24 PINOS SOLTO;LUCAS BARBOSA;;;
PFB;22369;230428;N LIGA;TROCA DE FONTE , ATUALIZACAO DA VERSAO , BACKUP DE ARQUIVOS;LUCAS BARBOSA;;;
MEA;15702;226166;N LIGA;LIMPEZA DE MEMORIA, TROCA DE CONECOTORES SATA DA FONTE;LUCAS BARBOSA;;;
BSB;16362;231745;WIN XP;ATUALIZACAO DA VERSAO BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
BSB;16877;231745;WIN XP;ATUALIZACAO DA VERSAO BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
CAU ;19293;230343;WIN XP;ATUALIZACAO DA VERSAO BACKUP DE ARQUIVOS , UPGRADE DE MEMORIA;LUCAS BARBOSA;;;
VIX;80723;232227;SUBSTITUICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
VIX;17767;232227;SUBSTITUICAO;DESKTOP PADRAO;LUCAS BARBOSA;;;
